maintenance,active_day7_17_slope,idle_takeovers,idle_debt_months,aggressive_takeover_rate,slope_improvement,constraints_pass
900,558609.6383492225,0,0,0.55,0.29817573068911063,True
950,518688.03229002364,0,0,0.55,0.20540028150542855,True
1000,487631.84906653274,0,0,0.55,0.13322755017248689,True
1050,464588.53692725976,0,0,0.55,0.07967625688957969,True
1100,455699.67530688026,0,0,0.55,0.059019068690802756,True
1150,430303.5599446122,0,0,0.55,0.0,True
